student_id,event_id,student_department,student_year,event_category,event_department,previous_registrations,previous_attendance,category_match,department_match,event_popularity,registered
29,2,AI&DS,3,Workshop,AI&DS,5,4,1,1,45,1
140,6,CIVIL,4,Technical,CIVIL,2,0,1,1,46,1
130,39,CSE,2,Sports,ECE,4,3,0,0,42,0
72,1,ECE,4,Cultural,ECE,3,3,1,1,28,1
87,7,CSE,4,Technical,CSE,7,5,1,1,45,1
68,3,AI&DS,4,Hackathon,AI&DS,3,2,0,1,75,1
21,36,IT,3,Hackathon,IT,3,2,1,1,32,1
59,19,CSE,2,Technical,CSE,5,3,1,1,10,1
94,11,IT,3,Workshop,AI&DS,1,1,1,0,50,0
44,35,AI&DS,2,Workshop,All,3,2,0,1,73,0
143,15,AI&DS,3,Technical,AI&DS,6,5,1,1,10,1
81,26,IT,1,Workshop,AI&DS,2,1,1,0,60,0
128,26,AI&DS,4,Workshop,AI&DS,4,3,1,1,64,1
144,35,IT,4,Hackathon,IT,2,1,1,1,83,1
36,33,MECH,1,Technical,All,4,3,1,1,67,1
109,39,CSE,4,Seminar,IT,4,3,0,0,71,0
3,8,AI&DS,3,Sports,AI&DS,4,1,1,1,67,1
41,30,CSE,3,Hackathon,CSE,1,1,0,1,58,0
77,33,CIVIL,2,Workshop,CIVIL,4,4,1,1,71,1
136,1,CIVIL,3,Seminar,CIVIL,2,2,0,1,100,1
79,16,CSE,2,Hackathon,All,4,2,1,1,50,1
18,35,ECE,2,Sports,IT,0,0,0,0,52,0
109,14,CIVIL,2,Sports,CIVIL,7,5,0,1,59,1
96,29,CIVIL,4,Technical,CIVIL,7,6,1,1,55,1
6,38,CIVIL,2,Hackathon,CIVIL,7,6,1,1,19,1
16,15,CSE,1,Cultural,CSE,1,1,1,1,65,0
125,14,CIVIL,2,Sports,MECH,1,1,1,0,55,0
122,27,ECE,1,Technical,MECH,4,3,0,0,45,0
14,7,CSE,4,Sports,CSE,7,5,0,1,63,1
64,13,ECE,4,Workshop,All,3,3,1,1,46,1
20,29,CIVIL,1,Technical,CSE,5,4,0,0,57,0
61,11,MECH,4,Seminar,MECH,8,5,0,1,42,1
16,11,MECH,1,Seminar,MECH,6,4,0,1,80,1
117,19,MECH,4,Workshop,MECH,6,4,1,1,50,1
15,38,AI&DS,1,Sports,AI&DS,0,0,1,1,61,1
123,33,CIVIL,2,Technical,All,5,4,1,1,54,1
18,16,MECH,1,Hackathon,MECH,2,1,0,1,67,0
21,27,AI&DS,3,Cultural,AI&DS,1,1,0,1,78,0
62,17,MECH,2,Sports,All,5,1,0,1,48,0
3,30,CIVIL,1,Technical,ECE,2,2,0,0,52,0
18,16,IT,3,Workshop,IT,4,2,1,1,64,1
136,1,AI&DS,3,Sports,AI&DS,7,4,0,1,51,0
68,8,CSE,2,Cultural,CSE,2,1,1,1,37,1
88,14,AI&DS,3,Hackathon,All,8,6,1,1,60,1
109,18,CSE,1,Cultural,IT,6,4,1,0,45,1
114,36,AI&DS,4,Hackathon,AI&DS,4,2,1,1,59,1
39,35,CSE,3,Hackathon,CSE,7,5,1,1,20,1
11,23,ECE,2,Sports,ECE,6,3,0,1,13,0
105,40,AI&DS,2,Workshop,All,2,1,1,1,96,1
106,2,ECE,3,Seminar,All,2,2,1,1,52,1
41,7,MECH,1,Seminar,MECH,4,2,0,1,72,0
118,23,IT,2,Workshop,IT,3,3,1,1,72,1
85,18,CSE,3,Cultural,All,4,2,0,1,42,0
8,8,IT,2,Hackathon,All,5,4,1,1,34,1
112,23,AI&DS,3,Seminar,MECH,4,3,0,0,45,0
49,17,CSE,4,Technical,AI&DS,2,2,1,0,50,0
51,24,MECH,1,Sports,AI&DS,7,3,0,0,39,0
